RowNumber|Name|ManufacturerName|ModelNumber|ModelName|EntryID|Cat|IsMatched|CatDesc|Record
145|DENTAL IMPLANT UNIT|A SEPTICO INC|AEU-25VDW||||N||1
146|CHAIR, PATIENT WEIGHING, DIGITAL|A&D|FV-CS||||N||1
147|CHAIR, PATIENT WEIGHING, DIGITAL|A&D|FV-CS150||||N||1
148|SCALES|A&D AUSTRALIA|BCS500||||N||1
149|SCALES|A&D COMPANY PTY LTD|HW200KGV||||N||1
150|PATIENT MONITOR, BLOOD PRESSURE, NONINVASIVE|A&D COMPANY, LIMITED|UA-651BLE||||N||1
151|BLOOD PRESSURE MEASUREMENT SYSTEM, NONINVASIVE|A&D COMPANY, LIMITED|UA-767PBT||||N||1
152|SCALE, PATIENT, FLOOR|A&D COMPANY, LIMITED|UC-321PBT||||N||1
153|SCALE, CHAIR|A&D MEDICAL|211CH||||N||1
154|Scale, Patient, Bed|A&D MEDICAL|ad 4326b||||N||1
155||A&D Medical|AD-4406||||N||1
156|Scale - Chair|A&D MEDICAL|BCS500||||N||1
157|Lifter - Patient|A&D MEDICAL|CALYPSO||||N||1
158||A&D Medical|FV-CS||||N||1
159|SCALES CHAIR|A&D MEDICAL|fv-cs||||N||1
160|SCALES |A&D MEDICAL|GENERIC||||N||1
161||A&D Medical|HV-CS||||N||1
162|SCALE, CHAIR|A&D MEDICAL|HV-CS||||N||1
163|Scale, Chair|A&D MEDICAL|HVCS-150||||N||1
164|CHAIR SCALE|A&D MEDICAL|HVCS-150||||N||1
165|SCALES|A&D MEDICAL|hvl-cs||||N||1
166||A&D Medical|HVL-CS||||N||1
167|SCALES CHAIR|A&D MEDICAL|hvl-cs||||N||1
168|SCALE, CHAIR|A&D MEDICAL|hvl-cs||||N||1
169|Scale, Lifter, Patient|A&D Medical|K0006||||N||1
170||A&D Medical|UC-321||||N||1
171|EBME00922 - SCALE, PATIENT, FLOOR|A&D MEDICAL|UC-321 PL||||N||1
172|EBME00863 - SCALE, PATIENT, FLOOR|A&D MEDICAL|UC-321 PL||||N||1
173|EBME00734 - SCALE, PATIENT, FLOOR|A&D MEDICAL|UC-321 PL||||N||1
174|SCALES|A&D MEDICAL|UC-321 PL||||N||1
175|EBME00928 - SCALE, PATIENT, FLOOR|A&D MEDICAL|UC-321 PL||||N||1
176|A&D Medical Scale|A&D MEDICAL|UC-321 PL||||N||1
177|Scales - Floor|A&D MEDICAL|UC-321 PL||||N||1
178|EBME00737 - SCALE, PATIENT, FLOOR|A&D MEDICAL|UC-321 PL||||N||1
179|EBME00799 - SCALE, PATIENT, FLOOR|A&D MEDICAL|UC-321 PL||||N||1
180|SCALE, PATIENT, FLOOR|A&D MEDICAL|UC-321 PL||||N||1
181|EBME00748 - SCALE, PATIENT, FLOOR|A&D MEDICAL|UC-321 PL||||N||1
182|EBME00919 - SCALE, PATIENT, FLOOR|A&D MEDICAL|UC-321BPT||||N||1
183|SCALES BABY|A&D MEDICAL|UC-321BPT||||N||1
184|SCALES|A&D MEDICAL|UC-321BPT||||N||1
185||A&D Medical|UM-102||2000056|4|Y|4 Modelnum matched|1
186|SCALES, CHAIR, PATIENT WEIGHING|A&D MERCURY|FV-150K||||N||1
187|Scale, Laboratory|A&E|EJ-410||||N||1
188|Electrocautery Unit|Aaron Medical|900||||N||1
189|Electrosurgical Unit, General-purpose|Aaron Medical|900||||N||1
190||AARON MEDICAL|A900-220||||N||1
191|GENERAL-PURPOSE ELECTROSURGICAL DIATHERMY SYSTEM GENERATOR|AARON MEDICAL|AARON 900||||N||1
192|LIBERTY PHLEGM SUCTION UNIT|AAS DARVAL|7E-A(SPB)||||N||1
193|MIDMARK CARDELL TOUCH VETERINARY MONITOR|AAS DARVAL|8013-001||||N||1
194|Monitor, My lab Touch|AAS DARVAL|8100||||N||1
195|ANAESTHETIC APPARATUS UNIT|AAS DARVAL|ANAESTHETIC APPARATUS||||N||1
196|HEAL FORCE HIGH FREQUENCY SURGICAL UNIT((Diathermy)|AAS DARVAL|EB03||||N||1
197|PENLON(CONNECTED TO ANAESTHETIC APPARATUS UNIT)|AAS DARVAL|SOFLURANE(OX143PH)||||N||1
198|ANAESTHETIC UNIT (ANIMAL HOUSE)|AAS DARVAL|THE STINGER  P/NO. 00575||||N||1
199|FRESENIUS KABI INFUSION PUMP|AAS DARVAL|VOLUMAT MC AGILA AUS||||N||1
200|DARVAL WARM INSPIRATION CONTROL UNIT|AAS DARVAL|WIACUA445||||N||1
201|WEDDERBURN -Scale|AAS DARVAL|WS204||||N||1
202|Spectrometers|AB Sciex Australia Pty Ltd|3200||||N||1
203|Spectrometers|AB Sciex Australia Pty Ltd|3200 QTRAP Applied MKTS System||||N||1
204|Spectrometers|AB Sciex Australia Pty Ltd|AB Sciex QTRAP 5500 LC/MS system for Special Chemistry||||N||1
205|Spectrometers|AB Sciex Australia Pty Ltd|AB SCIEX QTRAP 6500 system, Nexera UHPLC, & additional hardware/software||||N||1
206|Analysers|AB Sciex Australia Pty Ltd|API Applied Markets System Package Mass Spectrometer plus accessories||||N||1
207|Spectrometers|AB Sciex Australia Pty Ltd|API5000||||N||1
208|Analysers|AB Sciex Australia Pty Ltd|Exion Triple Quad 4500 System||||N||1
209|Probes|AB Sciex Australia Pty Ltd|Monitor, parts, probes, PC||||N||1
210|Chromatography Systems|AB Sciex Australia Pty Ltd|Qtrap 5500||||N||1
211|Spectrometers|AB Sciex Australia Pty Ltd|Qtrap 5500||||N||1
212|Spectrometers|AB Sciex Australia Pty Ltd|SCIEX QTRAP 6500+ SYSTEM||||N||1
213|Analysers|AB Sciex Australia Pty Ltd|SCIEX QTRAP 6500+ SYSTEM||||N||1
214|Analysers|Ab Sciex Australia Pty Ltd|Sciex X500R QTOF Mass Spectrometer and Exion LC AD||||N||1
215|Chromatography Systems|AB Sciex Australia Pty Ltd|ULC 100 Autosampler for Qtrap 5500||||N||1
216|Image Digitisation Systems|Abacus|Milestone MacroPath||||N||1
217|Electrophoresis Systems|Abacus DX|EPG System Hydrasys 2||||N||1
218|Image Digitisation Systems|Abacus Dx|Milestone MacroPath||||N||1
219|Workstations|Abacus Dx Pty Ltd|MM102500 Milestone eGROSS pro-x cut-up station||||N||1
220|TEST DEVICE, FLOW METER|Abb|FGM11||||N||1
221|HYGROMETER|ABBEON|AB167B||||N||1
222||ABBOTT|2ND GEN CENTRIMAG PRIMARY CONSOLE||||N||1
223|PUMP, PCA|ABBOTT|APM||||N||1
224|VAPOURISER, ANAESTHETIC GAS|ABBOTT|BLEASE||||N||1
225|DOCK/BATTERY CHARGER|ABBOTT|BST500||||N||1
226|RADIOGRAPHIC/TOMOGRAPHIC SYSTEM, LINEAR|ABBOTT|C408661||||N||1
227|KEYPADS, COMPUTER/COMPUTERIZED SYSTEM, REMOTE CONTROL|ABBOTT|C408663||||N||1
228|VAPOURISER, ANAESTHETIC GAS|ABBOTT|DATUM||||N||1
229||ABBOTT|DRC-300||||N||1
230||ABBOTT|DRC-59181||||N||1
231|AMPLIFIER, EEG|ABBOTT|ENSITE-AMP-02||||N||1
232|PUMP, ENTERAL|ABBOTT|FREEGO||||N||1
233|TRANSFORMER, ISOLATION|ABBOTT|ISB-1520||||N||1
234|VAPOURISER, ANAESTHETIC GAS|ABBOTT|ISOTEC 3||||N||1
235|BLOOD ANALYSER|ABBOTT|ISTAT||||N||1
236||ABBOTT|I-STAT 1 300G||||N||1
237||ABBOTT|ISTAT 1 DRC-300||||N||1
238|ANALYZER, POINT-OF-CARE, WHOLE BLOOD|ABBOTT|ISTAT ALINITY||||N||1
239||ABBOTT|ISTAT PR-300||||N||1
240||ABBOTT|ISTAT-300G||||N||1
241|CENTRIFUGE|ABBOTT|LN9527-||||N||1
242|VAPOURISER, ANAESTHETIC GAS|ABBOTT|M35500-21||||N||1
243|ANALYSER BLOOD CELL|ABBOTT|MN-300||||N||1
244||ABBOTT|PR300||||N||1
245|PRINTER|ABBOTT|PR500||||N||1
246|Phacoemulsification system|Abbott|Signature||||N||1
247|Phacoemulsification system|Abbott|Signature Pro||||N||1
248|PRINTER|Abbott Australasia|04P74-01||||N||1
249|ANALYSER, BLOOD GASES|Abbott Australasia|300||||N||1
250|VAPOURISER, ISOFLURANE|Abbott Australasia|ALADIN 2||||N||1
251|ANALYSER, BLOOD GASES|Abbott Australasia|AN-500||||N||1
252|VAPOURISER, SEVORANE|Abbott Australasia|DATUM||||N||1
253|Docking Station, Monitor|Abbott Australasia|DRC-300||||N||1
254|Infusion Pump, Enteral Feeding|Abbott Australasia|FreeGo||||N||1
255|PRINTER|Abbott Australasia|HK 7000||||N||1
256|PUMP, ENTERAL|Abbott Australasia|M771-27||||N||1
257|Infusion Pump, Enteral Feeding|Abbott Australasia|M771-27||||N||1
258|VAPOURISER, SEVORANE|Abbott Australasia|SEVO RANE||||N||1
259|THERAPY UNIT, ULTRASOUND|Abbott Australasia|US-5||||N||1
260|VAPOURISER, SEVORANE|Abbott Australasia|Vapor 2000||||N||1
261|Hand Held Blood Analyser|ABBOTT AUSTRALASIA PTY LTD|300||||N||1
262|I-STAT BLOOD ANALYSER|ABBOTT AUSTRALASIA PTY LTD|300||||N||1
263|MWME00016 - ISTAT|ABBOTT AUSTRALASIA PTY LTD|300||||N||1
264|Analysers|Abbott Australasia Pty Ltd|Architect||||N||1
265|Analysers|Abbott Australasia Pty Ltd|Architect Automated Intergarated Chem/Immun Module ci8200&ISR51760/C803360||||N||1
266|Analysers|Abbott Australasia Pty Ltd|Architect Automated Reconstitution Module iARM&I001016||||N||1
267|Analysers|Abbott Australasia Pty Ltd|Architect Automated Reconstitution Module iARM&I001080||||N||1
268|Analysers|Abbott Australasia Pty Ltd|Architect c4000||||N||1
269|Analysers|Abbott Australasia Pty Ltd|Architect c8000 Processing Module ||||N||1
270|Analysers|Abbott Australasia Pty Ltd|Architect Chemistry Module c16000&C1600626||||N||1
271|Analysers|Abbott Australasia Pty Ltd|Architect Chemistry Module c16000&C1600652||||N||1
272|Analysers|Abbott Australasia Pty Ltd|Architect Chemistry Module c16000&C1600698||||N||1
273|Analysers|Abbott Australasia Pty Ltd|Architect Chemistry Module c16000&C1600701||||N||1
274|Analysers|Abbott Australasia Pty Ltd|Architect Chemistry Module c8000 and C803359||||N||1
275|Analysers|Abbott Australasia Pty Ltd|Architect ci4100||||N||1
276|Analysers|Abbott Australasia Pty Ltd|Architect ci4100&C401144/I1SR53498||||N||1
277|Analysers|Abbott Australasia Pty Ltd|Architect ci4100&I1SR52770/C401148||||N||1
278|Analysers|Abbott Australasia Pty Ltd|Architect ci8200||||N||1
279|Analysers|Abbott Australasia Pty Ltd|Architect Ci8200 01G06-11.03M74-02||||N||1
280|Analysers|Abbott Australasia Pty Ltd|Architect I1000||||N||1
281|Analysers|Abbott Australasia Pty Ltd|Architect I1000SR||||N||1
282|Analysers|Abbott Australasia Pty Ltd|Architect Immunoassay Module i2000SR and ISR1886||||N||1
283|Analysers|Abbott Australasia Pty Ltd|Architect Immunoassay Module i2000SR and ISR51287||||N||1
284|Analysers|Abbott Australasia Pty Ltd|Architect Immunoassay Module i2000SR and ISR51526||||N||1
285|Analysers|Abbott Australasia Pty Ltd|Architect Immunoassay Module i2000SR&ISR51289||||N||1
286|Analysers|Abbott Australasia Pty Ltd|Architect Immunoassay Module i2000SR&ISR51385||||N||1
287|Analysers|Abbott Australasia Pty Ltd|Architect Immunoassay Module i2000SR&ISR51387||||N||1
288|Analysers|Abbott Australasia Pty Ltd|Architect Integrated Chemistry Immunoassay Modules ci4100 & C400982/i1SR52753||||N||1
289|Analysers|Abbott Australasia Pty Ltd|Architect Integrated Chemistry Immunoassay Modules ci4100/i1SR52753||||N||1
290|Analysers|Abbott Australasia Pty Ltd|Architect Integrated Chemistry Immunoassay Modules ci8200 and ISR52511/C803500||||N||1
291|Analysers|Abbott Australasia Pty Ltd|Architect Integrated Chenistry/Immunoassay Modules Ci4100&I1SR52193/C400875||||N||1
292|Analysers|Abbott Australasia Pty Ltd|Architect Intergrated Chemistry / Immunoassay Modules ci4100&I1SR53332/C401127||||N||1
293|Analysers|Abbott Australasia Pty Ltd|Architect Intergrated Chemistry / Immunoassay Modules ci4100&I1SR53496/C401143||||N||1
294|Analysers|Abbott Australasia Pty Ltd|Architect Intergrated Chemistry / Immunoassay Modules ci8200&C803429/ISR51761||||N||1
295|Analysers|Abbott Australasia Pty Ltd|Architect Intergrated Chemistry / Immunoassay Modules ci8200&C803489/ISR52328||||N||1
296|Analysers|Abbott Australasia Pty Ltd|Architect Intergrated Chemistry / Immunoassay Modules ci8200&ISR52173/C803430||||N||1
297|Analysers|Abbott Australasia Pty Ltd|Architect Plus ci4100||||N||1
298|MRI VAPORISER ANAESTHESIA|ABBOTT AUSTRALASIA PTY LTD|BLEASE||||N||1
299|VAPORISER ANAESTHESIA|ABBOTT AUSTRALASIA PTY LTD|BLEASE||||N||1
300|Analysers|Abbott Australasia Pty Ltd|c16000||||N||1
301|Analysers|Abbott Australasia Pty Ltd|c4000||||N||1
302|Analysers|Abbott Australasia Pty Ltd|c4000\i1000SR||||N||1
303|Analysers|Abbott Australasia Pty Ltd|Cell Dyn Ruby||||N||1
304|Analysers|Abbott Australasia Pty Ltd|Cell Dyn Ruby Haem Analyser||||N||1
305|Analysers|Abbott Australasia Pty Ltd|Cell-Dyn Ruby||||N||1
306|Analysers|Abbott Australasia Pty Ltd|CELL-DYN RUBY - M07WILSOC006||||N||1
307|Analysers|Abbott Australasia Pty Ltd|Cell-Dyn Sapphire||||N||1
308|Analysers|Abbott Australasia Pty Ltd|ci4100||||N||1
309|Analysers|Abbott Australasia Pty Ltd|Ci4100 and i1SR53949/C401226||||N||1
310|Analysers|Abbott Australasia Pty Ltd|ci4100&C401004/i1SR52768||||N||1
311|Analysers|Abbott Australasia Pty Ltd|ci8200||||N||1
312|Analysers|Abbott Australasia Pty Ltd|Consecutive Target Tissue FISH application||||N||1
313|Hand Held Blood Analyser|ABBOTT AUSTRALASIA PTY LTD|DS-300||||N||1
314|Workstations|Abbott Australasia Pty Ltd|FLEXLAB||||N||1
315|Analysers|Abbott Australasia Pty Ltd|FLEXLAB||||N||1
316|Tissue Processors|Abbott Australasia Pty Ltd|I1000SR Processing Module||||N||1
317|Analysers|Abbott Australasia Pty Ltd|i2000SR||||N||1
318|Tissue Processors|Abbott Australasia Pty Ltd|I2000SR Processing Module TTC||||N||1
319|Analysers|Abbott Australasia Pty Ltd|iArm - Architect||||N||1
320|Analysers|Abbott Australasia Pty Ltd|iARM Architect||||N||1
321|Analysers|Abbott Australasia Pty Ltd|ir2000||||N||1
322|I-STAT CALIBRATOR|ABBOTT AUSTRALASIA PTY LTD|ISTAT||||N||1
323|ANALYSER BLOOD CELL|ABBOTT AUSTRALASIA PTY LTD|ISTAT||||N||1
324|Analysers|Abbott Australasia Pty Ltd|i-STAT||||N||1
325|ANALYSER BLOOD CELL|ABBOTT AUSTRALASIA PTY LTD|iSTAT 1||||N||1
326|BLOOD ANALYSER|ABBOTT AUSTRALASIA PTY LTD|iSTAT 1||||N||1
327|Analysers|Abbott Australasia Pty Ltd|i-STAT 1||||N||1
328|Analysers|Abbott Australasia Pty Ltd|i-STAT 1 Instrumentation Package: Includes I-Stat1 Analyser (#6F16.06), I-Stat1 P||||N||1
329|Analysers|Abbott Australasia Pty Ltd|i-STAT 300||||N||1
330|Analysers|Abbott Australasia Pty Ltd|i-STAT Analyser/Printer||||N||1
331|I-STAT DOWNLOADER|ABBOTT AUSTRALASIA PTY LTD|I-STAT ELECTRONIC SI||||N||1
332|I-STAT ELECTRONIC SIMULATOR|ABBOTT AUSTRALASIA PTY LTD|I-STAT ELECTRONIC SIMULATOR||||N||1
333|POWER SUPPLY, GENERAL-PURPOSE|ABBOTT AUSTRALASIA PTY LTD|LFZVC36FS12AR||||N||1
334|MWME00211 - Glucose Meter|ABBOTT AUSTRALASIA PTY LTD|Optimum Neo H||||N||1
335|MWME00213 - Glucose Meter|ABBOTT AUSTRALASIA PTY LTD|Optimum Neo H||||N||1
336|MWME00212 - Glucose Meter|ABBOTT AUSTRALASIA PTY LTD|Optimum Neo H||||N||1
337|Decappers|Abbott Australasia Pty Ltd|Pathfinder 350D Decapper Sorter||||N||1
338|Analysers|Abbott Australasia Pty Ltd|POCT - iStat||||N||1
339|PRINTER ISTAT|ABBOTT AUSTRALASIA PTY LTD|PR-300||||N||1
340|Analysers|Abbott Australasia Pty Ltd|Ruby||||N||1
341|Slide Stainers|Abbott Australasia Pty Ltd|VP2000 FISH Processor||||N||1
342|PHACOFRAGMENTATION UNIT|ABBOTT AUSTRALASIA PTY LTD|WHITE STAR SIGNATURE||||N||1
343|PHACOEMULSIFIER|ABBOTT AUSTRALASIA PTY LTD|WHITE STAR SIGNATURE||||N||1
344|VAPOURISER, ANAESTHETIC GAS|ABBOTT BLEASE|DATUM||||N||1
345||Abbott Laboratories|102504-00|Pain Management Provider|||N||1
346||Abbott Laboratories|13075|Gemstar|||N||1
347||Abbott Laboratories|13150-36|Gemstar|||N||1
